
invx1 - cell_rise (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00999,0.01459,0.02622,0.05623,0.13443,0.34249,0.89454
0.0231,0.01302,0.01742,0.02906,0.05922,0.13751,0.34562,0.89768
0.0531,0.01827,0.02431,0.03600,0.06618,0.14459,0.35278,0.90488
0.1225,0.02473,0.03438,0.05172,0.08273,0.16111,0.36937,0.92152
0.2823,0.03236,0.04714,0.07471,0.11990,0.19973,0.40778,0.95991
0.6507,0.04175,0.06278,0.10427,0.17588,0.28797,0.49723,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

invx1 - cell_fall (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.01088,0.01530,0.02646,0.05522,0.13012,0.32924,0.67072
0.0231,0.01332,0.01774,0.02907,0.05803,0.13305,0.33222,0.67590
0.0531,0.01811,0.02384,0.03540,0.06456,0.13975,0.33902,0.68767
0.1225,0.02405,0.03294,0.04965,0.08002,0.15535,0.35478,0.71450
0.2823,0.03083,0.04430,0.07000,0.11393,0.19172,0.39120,0.77416
0.6507,0.03767,0.05754,0.09594,0.16318,0.27293,0.47577,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

invx1 - rise_transition (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00713,0.01306,0.02938,0.07315,0.18815,0.49455,1.30767
0.0231,0.00768,0.01307,0.02938,0.07315,0.18815,0.49455,1.30767
0.0531,0.01266,0.01636,0.02991,0.07315,0.18815,0.49455,1.30767
0.1225,0.02045,0.02683,0.03848,0.07465,0.18815,0.49455,1.30767
0.2823,0.03376,0.04418,0.06247,0.09363,0.19080,0.49455,1.30767
0.6507,0.05699,0.07257,0.10253,0.15013,0.23098,0.49784,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

invx1 - fall_transition (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00580,0.01082,0.02467,0.06185,0.15952,0.41979,1.11047
0.0231,0.00599,0.01082,0.02467,0.06184,0.15952,0.41979,1.11047
0.0531,0.00933,0.01313,0.02500,0.06184,0.15952,0.41979,1.11047
0.1225,0.01554,0.02143,0.03239,0.06317,0.15952,0.41979,1.11047
0.2823,0.02649,0.03547,0.05213,0.08078,0.16231,0.41979,1.11047
0.6507,0.04763,0.06043,0.08518,0.12825,0.20087,0.42383,0.00000
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

invx2 - cell_rise (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00846,0.01089,0.01698,0.03217,0.07113,0.17441,0.44827
0.0231,0.01173,0.01393,0.01987,0.03516,0.07425,0.17761,0.45151
0.0531,0.01623,0.01997,0.02718,0.04228,0.08146,0.18494,0.45890
0.1225,0.02210,0.02807,0.03966,0.05943,0.09846,0.20198,0.47603
0.2823,0.02961,0.03862,0.05682,0.08838,0.13850,0.24162,0.51558
0.6507,0.04028,0.05302,0.07971,0.12870,0.20856,0.33441,0.60738
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

invx2 - cell_fall (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00908,0.01134,0.01704,0.03120,0.06741,0.16342,0.41568
0.0231,0.01162,0.01382,0.01955,0.03391,0.07029,0.16638,0.41874
0.0531,0.01545,0.01891,0.02592,0.04034,0.07692,0.17316,0.42572
0.1225,0.01991,0.02533,0.03625,0.05559,0.09252,0.18890,0.44186
0.2823,0.02412,0.03236,0.04919,0.07926,0.12870,0.22547,0.47898
0.6507,0.02624,0.03845,0.06355,0.10937,0.18600,0.31078,0.56456
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

invx2 - rise_transition (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00523,0.00815,0.01617,0.03775,0.09441,0.24540,0.64610
0.0231,0.00613,0.00843,0.01618,0.03774,0.09441,0.24540,0.64610
0.0531,0.01056,0.01313,0.01838,0.03776,0.09441,0.24540,0.64610
0.1225,0.01726,0.02119,0.02879,0.04385,0.09463,0.24540,0.64610
0.2823,0.02881,0.03514,0.04738,0.06782,0.10792,0.24557,0.64610
0.6507,0.04966,0.05876,0.07806,0.11155,0.16315,0.27206,0.64610
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

invx2 - fall_transition (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00406,0.00646,0.01308,0.03086,0.07762,0.20223,0.53290
0.0231,0.00456,0.00659,0.01308,0.03086,0.07762,0.20223,0.53290
0.0531,0.00766,0.00999,0.01488,0.03092,0.07762,0.20223,0.53290
0.1225,0.01306,0.01669,0.02373,0.03684,0.07801,0.20223,0.53290
0.2823,0.02267,0.02827,0.03926,0.05826,0.09212,0.20281,0.53290
0.6507,0.04163,0.04960,0.06582,0.09506,0.14303,0.23257,0.53318
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

invx4 - cell_rise (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00751,0.00875,0.01195,0.01981,0.03934,0.09048,0.22577
0.0231,0.01071,0.01200,0.01495,0.02271,0.04235,0.09362,0.22898
0.0531,0.01465,0.01686,0.02152,0.02997,0.04948,0.10086,0.23632
0.1225,0.01988,0.02335,0.03076,0.04431,0.06671,0.11786,0.25338
0.2823,0.02718,0.03222,0.04340,0.06469,0.10021,0.15797,0.29302
0.6507,0.03894,0.04590,0.06167,0.09305,0.14848,0.23889,0.38581
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

invx4 - cell_fall (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00783,0.00893,0.01178,0.01870,0.03586,0.08082,0.19980
0.0231,0.01017,0.01144,0.01422,0.02124,0.03859,0.08368,0.20271
0.0531,0.01310,0.01505,0.01936,0.02754,0.04497,0.09024,0.20938
0.1225,0.01597,0.01903,0.02576,0.03852,0.06027,0.10558,0.22484
0.2823,0.01744,0.02208,0.03232,0.05198,0.08575,0.14162,0.26068
0.6507,0.01445,0.02129,0.03645,0.06588,0.11757,0.20407,0.34439
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

invx4 - rise_transition (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00412,0.00555,0.00950,0.02012,0.04804,0.12242,0.31983
0.0231,0.00551,0.00641,0.00963,0.02012,0.04804,0.12242,0.31983
0.0531,0.00949,0.01099,0.01387,0.02161,0.04804,0.12242,0.31983
0.1225,0.01577,0.01810,0.02295,0.03194,0.05216,0.12242,0.31983
0.2823,0.02658,0.03019,0.03811,0.05237,0.07559,0.13100,0.31983
0.6507,0.04722,0.05204,0.06350,0.08635,0.12394,0.18295,0.33532
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

